iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3621020408163265e-24,0.0,0.0,0.0,0.0,0.0
1.0,10.0,6.81051020408163e-23,0.0,0.0,1.3621020408163265e-23,0.0,0.0,1.3621020408163265e-24,0.0,0.0,0.0,0.0,0.0
2.0,20.0,2.7027209255223416e-22,7.110504632161007e-25,0.0,2.6812377694120306e-23,1.4221009264322017e-25,0.0,1.319135728595704e-24,1.4221009264322017e-26,0.0,0.0,0.0,0.0
3.0,30.0,6.023079475281405e-22,3.511365103429331e-24,0.0,3.959479330106097e-23,4.1785283539942605e-25,0.0,1.2782415606940667e-24,2.7564274275620586e-26,0.0,0.0,0.0,0.0
4.0,40.0,1.0602200898216407e-21,9.694646394281458e-24,0.0,5.198763515763909e-23,8.188034227709993e-25,0.0,1.239284185657812e-24,4.009505873715732e-26,0.0,0.0,0.0,0.0
5.0,50.0,1.6402034068073655e-21,2.0476323571748458e-23,0.0,6.400902823950589e-23,1.337532012722401e-24,0.0,1.2021393081866801e-24,5.187285899514017e-26,0.0,0.0,0.0,0.0
6.0,60.0,2.3386283197497405e-21,3.699924359811689e-23,0.0,7.567595434896912e-23,1.967051992551285e-24,0.0,1.1666926109463226e-24,6.295199798288843e-26,0.0,0.0,0.0,0.0
7.0,70.0,3.1520298031406307e-21,6.033887099278607e-23,0.0,8.700434232920893e-23,2.7008734863825517e-24,0.0,1.1328387980239813e-24,7.338214938312668e-26,0.0,0.0,0.0,0.0
8.0,80.0,4.077097263657878e-21,9.150804591662047e-23,0.0,9.80091497742405e-23,3.532961498384328e-24,0.0,1.1004807445031567e-24,8.32088012001777e-26,0.0,0.0,0.0,0.0
9.0,90.0,5.110665198342111e-21,1.3146134423023385e-22,0.0,1.087044371626062e-22,4.45769816433835e-24,0.0,1.0695287388365708e-24,9.247366659540217e-26,0.0,0.0,0.0,0.0
10.0,100.0,6.24970456029602e-21,1.8109907830930734e-22,0.0,1.1910343522817558e-22,5.469848651476347e-24,0.0,1.0398998065569379e-24,1.0121504871379969e-25,0.0,0.0,0.0,0.0
11.0,110.0,7.491314767849776e-21,2.4127097308809786e-22,0.0,1.2921860628257543e-22,6.5645303042817536e-24,0.0,1.011517105439985e-24,1.0946816528054062e-25,0.0,0.0,0.0,0.0
12.0,120.0,8.832716299854103e-21,3.127795480280877e-22,0.0,1.3906170011829015e-22,7.737184683716219e-24,0.0,9.843093835714732e-25,1.1726543794344654e-25,0.0,0.0,0.0,0.0
13.0,130.0,1.027124382568243e-20,3.963832323980808e-22,0.0,1.4864380504737523e-22,8.983552190282409e-24,0.0,9.582104929085084e-25,1.2463675065661901e-25,0.0,0.0,0.0,0.0
14.0,140.0,1.180433982375105e-20,4.927992383419786e-22,0.0,1.5797539456634907e-22,1.0299648998497147e-23,0.0,9.331589518973846e-25,1.3160968082147384e-25,0.0,0.0,0.0,0.0
