iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z,psi,theta,phi,psi_dot,theta_dot,phi_dot,T_psi,T_theta,T_phi
0.0,0.0,7000000.0,0.0,0.0,0.0,7545.946840144431,0.0,-8.134473387755103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,31540.0,-4038971553.5472817,237999163.33815533,0.0,-256561.29064979588,7545.946840144431,0.0,2.0577257239865662e-05,-1.2125289673260623e-06,0.0,0.0,0.0,0.0,79.99999958691348,0.0,0.0,3154000.0,0.0,0.0,10.0,0.0,0.0
2.0,63080.0,-12130904425.80629,475997723.5816202,0.0,-256560.64164310254,7545.908596980801,0.0,2.413201340243975e-06,-9.469024766666558e-08,0.0,0.0,0.0,0.0,-39.99999482215697,-0.0,0.0,6308000.0,0.0,0.0,10.0,0.0,0.0
3.0,94620.0,-20222825862.937664,713995633.6328101,0.0,-256560.56553073227,7545.90561045039,0.0,8.782842886575835e-07,-3.100907615186867e-08,0.0,0.0,0.0,0.0,-3.717778807682668e-06,0.0,0.0,9462000.0,0.0,0.0,10.0,0.0,0.0
4.0,126160.0,-28314745662.930824,951993481.1629412,0.0,-256560.53782964582,7545.904632424128,0.0,4.5021004178064944e-07,-1.5136884153276555e-08,0.0,0.0,0.0,0.0,-160.00002709995206,0.0,0.0,12616000.0,0.0,0.0,10.0,0.0,0.0
5.0,157700.0,-36406664802.14977,1189991305.740727,0.0,-256560.5236300211,7545.904155006802,0.0,2.7306042261292456e-07,-8.925275924535705e-09,0.0,0.0,0.0,0.0,-160.00001032716335,0.0,0.0,15770000.0,0.0,0.0,10.0,0.0,0.0
6.0,189240.0,-44498583581.62426,1427989118.350336,0.0,-256560.51501769538,7545.903873503599,0.0,1.830963128514396e-07,-5.875682354750153e-09,0.0,0.0,0.0,0.0,-8.040926067079032e-06,0.0,0.0,18924000.0,0.0,0.0,10.0,0.0,0.0
7.0,220780.0,-52590502134.21287,1665986923.5981586,0.0,-256560.50924283767,7545.903688184578,0.0,1.312434925231276e-07,-4.157593737988671e-09,0.0,0.0,0.0,0.0,-39.999965599726835,0.0,0.0,22078000.0,0.0,0.0,10.0,0.0,0.0
8.0,252320.0,-60682420530.453316,1903984723.8555722,0.0,-256560.5051034179,7545.903557054071,0.0,9.866165467152059e-08,-3.0956293714522606e-09,0.0,0.0,0.0,0.0,80.00000771340763,0.0,0.0,25232000.0,0.0,0.0,10.0,0.0,0.0
9.0,283860.0,-68774338812.34221,2141982520.5053356,0.0,-256560.5019916293,7545.90345941792,0.0,7.686229520996753e-08,-2.3938825973289565e-09,0.0,0.0,0.0,0.0,2.1181504046430373e-05,0.0,0.0,28386000.0,0.0,0.0,10.0,0.0,0.0
10.0,315400.0,-76866257006.92798,2379980314.4246936,0.0,-256560.49956739252,7545.903383914863,0.0,6.156378378579678e-08,-1.9061757290782163e-09,0.0,0.0,0.0,0.0,79.9999655215357,0.0,0.0,31540000.0,0.0,0.0,10.0,0.0,0.0
11.0,346940.0,-84958175132.66258,2617978106.2052636,0.0,-256560.49762567077,7545.903323794081,0.0,5.04165476161398e-08,-1.5535811314615349e-09,0.0,0.0,0.0,0.0,-40.00004998347069,-0.0,0.0,34694000.0,0.0,0.0,10.0,0.0,0.0
