iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z
0.0,0.0,600000.0,0.0,0.0,-5345.7272657703,5345.7272657703,0.0,-1107.192211111111,0.0,0.0,0.0,0.0,0.0
1.0,0.1,599459.8913123674,534.57272657703,0.0,-5456.446486881411,5345.7272657703,0.0,-1106.2261573997216,-0.9864852373648701,0.0,0.0,0.0,0.0
2.0,0.2,598908.7155328923,1069.140520727873,0.0,-5567.0691026213835,5345.628617246563,0.0,-1105.300815767767,-1.9731252177210854,0.0,0.0,0.0,0.0
3.0,0.30000000000000004,598346.4821185513,1603.6935168264408,0.0,-5677.59918419816,5345.4313047247915,0.0,-1104.4160522060477,-2.9600656404477217,0.0,0.0,0.0,0.0
4.0,0.4,597773.2001198705,2138.2218469707177,0.0,-5788.040789418765,5345.135298160747,0.0,-1103.5717408918226,-3.947452320714981,0.0,0.0,0.0,0.0
5.0,0.5,597188.8781822241,2672.7156395251886,0.0,-5898.397963507947,5344.740552928675,0.0,-1102.767764140457,-4.935431247403555,0.0,0.0,0.0,0.0
6.0,0.6000000000000001,596593.5245470526,3207.165017661819,0.0,-6008.674739921992,5344.247009803935,0.0,-1102.0040123610208,-5.9241486411548925,0.0,0.0,0.0,0.0
7.0,0.7000000000000001,595987.1470529985,3741.560097899007,0.0,-6118.875141158094,5343.65459493982,0.0,-1101.2803840157992,-6.913751012596907,0.0,0.0,0.0,0.0
8.0,0.8,595369.7531369627,4275.890988637926,0.0,-6229.003179559674,5342.96321983856,0.0,-1100.5967855836927,-7.904385220789968,0.0,0.0,0.0,0.0
9.0,0.9,594741.3498350788,4810.147788695678,0.0,-6339.062858118044,5342.172781316481,0.0,-1099.9531315274733,-8.896198531938184,0.0,0.0,0.0,0.0
10.0,1.0,594101.9437836094,5344.320585834666,0.0,-6449.058171270791,5341.283161463287,0.0,-1099.3493442648842,-9.88933867841143,0.0,0.0,0.0,0.0
11.0,1.1,593451.541219761,5878.399455287603,0.0,-6558.993105697279,5340.294227595446,0.0,-1098.785354143556,-10.883953918123886,0.0,0.0,0.0,0.0
12.0,1.2000000000000002,592790.1479824205,6412.374458277557,0.0,-6668.871641111635,5339.205832203633,0.0,-1098.2610994197273,-11.880193094315285,0.0,0.0,0.0,0.0
13.0,1.3,592117.7695128123,6946.235640532449,0.0,-6778.697751053607,5338.017812894202,0.0,-1097.7765262407559,-12.87820569578168,0.0,0.0,0.0,0.0
14.0,1.4000000000000001,591434.4108550757,7479.9730307933905,0.0,-6888.475403677683,5336.729992324624,0.0,-1097.3315886314174,-13.878141917603015,0.0,0.0,0.0,0.0
15.0,1.5,590740.0766567647,8013.576639316265,0.0,-6998.2085625408245,5335.342178132863,0.0,-1096.9262484839783,-14.880152722415394,0.0,0.0,0.0,0.0
16.0,1.6,590034.7711692682,8547.036456365939,0.0,-7107.901187389222,5333.854162860622,0.0,-1096.560475552046,-15.884389902276768,0.0,0.0,0.0,0.0
17.0,1.7000000000000002,589318.4982481515,9080.34245070249,0.0,-7217.557234944426,5332.265723870394,0.0,-1096.234247448195,-16.89100614117532,0.0,0.0,0.0,0.0
18.0,1.8,588591.2613534199,9613.484568058824,0.0,-7327.180659689246,5330.576623256276,0.0,-1095.9475496453745,-17.9001550782308,0.0,0.0,0.0,0.0
19.0,1.9000000000000001,587853.0635497028,10146.45272960906,0.0,-7436.775414653783,5328.786607748453,0.0,-1095.7003754821096,-18.911991371640003,0.0,0.0,0.0,0.0
20.0,2.0,587103.90750636,10679.236830427048,0.0,-7546.345452201994,5326.895408611289,0.0,-1095.4927261714936,-19.926670763418162,0.0,0.0,0.0,0.0
21.0,2.1,586343.795497509,11211.82673793436,0.0,-7655.894724819143,5324.902741534947,0.0,-1095.324610814006,-20.944350144989627,0.0,0.0,0.0,0.0
22.0,2.2,585572.729401973,11744.21229033713,0.0,-7765.427185900544,5322.808306520448,0.0,-1095.1960464141587,-21.965187623681818,0.0,0.0,0.0,0.0
23.0,2.3000000000000003,584790.7107031508,12276.383295051055,0.0,-7874.94679054196,5320.61178775808,0.0,-1095.107057900995,-22.98934259017779,0.0,0.0,0.0,0.0
24.0,2.4000000000000004,583997.7404888071,12808.329527113912,0.0,-7984.457496332059,5318.312853499062,0.0,-1095.0576781524753,-24.016975786984187,0.0,0.0,0.0,0.0
25.0,2.5,583193.8194507831,13340.040727584883,0.0,-8093.963264147307,5315.911155920364,0.0,-1095.0479480237639,-25.048249377972127,0.0,0.0,0.0,0.0
26.0,2.6,582378.9478846282,13871.506601930028,0.0,-8203.468058949684,5313.406330982567,0.0,-1095.0779163794607,-26.083327019050742,0.0,0.0,0.0,0.0
27.0,2.7,581553.1256891513,14402.71681839319,0.0,-8312.97585058763,5310.797998280662,0.0,-1095.147640129807,-27.12237393003394,0.0,0.0,0.0,0.0
28.0,2.8000000000000003,580716.3523658919,14933.661006351605,0.0,-8422.49061460061,5308.085760887659,0.0,-1095.257184270912,-28.165556967762853,0.0,0.0,0.0,0.0
29.0,2.9000000000000004,579868.6270185105,15464.328754655533,0.0,-8532.016333027701,5305.2692051908825,0.0,-1095.4066219290262,-29.21304470054796,0.0,0.0,0.0,0.0
30.0,3.0,579009.9483520981,15994.709609951118,0.0,-8641.556995220604,5302.347900720828,0.0,-1095.596034408936,-30.26500748399696,0.0,0.0,0.0,0.0
31.0,3.1,578140.314672404,16524.79307498578,0.0,-8751.116598661498,5299.3213999724285,0.0,-1095.8255112465033,-31.321617538295715,0.0,0.0,0.0,0.0
32.0,3.2,577259.7238849816,17054.568606895333,0.0,-8860.699149786149,5296.189238218599,0.0,-1096.0951502654202,-32.383049027012156,0.0,0.0,0.0,0.0
33.0,3.3000000000000003,576368.1734942517,17584.02561547206,0.0,-8970.308664812692,5292.950933315898,0.0,-1096.4050576382358,-33.449478137494935,0.0,0.0,0.0,0.0
34.0,3.4000000000000004,575465.6606024823,18113.153461412963,0.0,-9079.949170576516,5289.6059855021485,0.0,-1096.755347951717,-34.52108316294057,0.0,0.0,0.0,0.0
35.0,3.5,574552.1819086849,18641.941454547363,0.0,-9189.624705371687,5286.153877185854,0.0,-1097.1461442766035,-35.59804458620515,0.0,0.0,0.0,0.0
36.0,3.6,573627.7337074263,19170.378852043017,0.0,-9299.339319799348,5282.594072727234,0.0,-1097.5775782418418,-36.680545165439575,0.0,0.0,0.0,0.0
37.0,3.7,572692.3118875552,19698.454856589913,0.0,-9409.097077623532,5278.92601821069,0.0,-1098.0497901133685,-37.76877002162921,0.0,0.0,0.0,0.0
38.0,3.8000000000000003,571745.9119308422,20226.158614560874,0.0,-9518.902056634868,5275.149141208527,0.0,-1098.5629288775147,-38.86290672812164,0.0,0.0,0.0,0.0
39.0,3.9000000000000004,570788.5289105343,20753.479214148087,0.0,-9628.758349522619,5271.262850535715,0.0,-1099.1171523291343,-39.96314540222944,0.0,0.0,0.0,0.0
40.0,4.0,569820.1574898204,21280.405683474648,0.0,-9738.670064755532,5267.266535995493,0.0,-1099.7126271645357,-41.06967879899737,0.0,0.0,0.0,0.0
41.0,4.1000000000000005,568840.791920209,21806.926988680203,0.0,-9848.641327471985,5263.159568115593,0.0,-1100.3495290793046,-42.182702407226174,0.0,0.0,0.0,0.0
42.0,4.2,567850.4260398163,22333.032031979725,0.0,-9958.676280379916,5258.9412978748705,0.0,-1101.0280428711415,-43.302414547849615,0.0,0.0,0.0,0.0
43.0,4.3,566849.053271564,22858.709649694472,0.0,-10068.77908466703,5254.611056420085,0.0,-1101.7483625477976,-44.429016474763536,0.0,0.0,0.0,0.0
44.0,4.4,565836.6666212846,23383.94861025411,0.0,-10178.953920921811,5250.168154772609,0.0,-1102.510691440229,-45.56271247820945,0.0,0.0,0.0,0.0
45.0,4.5,564813.2586757352,23908.737612168978,0.0,-10289.204990065833,5245.611883524788,0.0,-1103.3152423210884,-46.70370999082,0.0,0.0,0.0,0.0
46.0,4.6000000000000005,563778.821600517,24433.065281971503,0.0,-10399.536514297943,5240.9415125257065,0.0,-1104.1622375286743,-47.85221969643615,0.0,0.0,0.0,0.0
47.0,4.7,562733.3471378996,24956.920172125592,0.0,-10509.95273805081,5236.156290556063,0.0,-1105.0519090964635,-49.008455641810734,0.0,0.0,0.0,0.0
48.0,4.800000000000001,561676.8266045491,25480.29075890299,0.0,-10620.457928960455,5231.255444991882,0.0,-1105.984498888372,-50.172635351317695,0.0,0.0,0.0,0.0
49.0,4.9,560609.2508891586,26003.16544022542,0.0,-10731.056378849293,5226.23818145675,0.0,-1106.9602587398738,-51.344979944790154,0.0,0.0,0.0,0.0
50.0,5.0,559530.6104499799,26525.53253347137,0.0,-10841.75240472328,5221.103683462271,0.0,-1107.9794506051333,-52.52571425861523,0.0,0.0,0.0,0.0
51.0,5.1000000000000005,558440.8953122545,27047.380273246305,0.0,-10952.550349783793,5215.851112036409,0.0,-1109.0423467103062,-53.71506697021957,0.0,0.0,0.0,0.0
52.0,5.2,557340.0950655426,27568.696809115096,0.0,-11063.454584454823,5210.4796053393875,0.0,-1110.149229713173,-54.91327072608328,0.0,0.0,0.0,0.0
53.0,5.300000000000001,556228.1988609486,28089.470203295405,0.0,-11174.46950742614,5204.988278266779,0.0,-1111.3003928692674,-56.12056227342658,0.0,0.0,0.0,0.0
54.0,5.4,555105.1954082416,28609.688428310714,0.0,-11285.599546713067,5199.3762220394365,0.0,-1112.4961402046852,-57.33718259571845,0.0,0.0,0.0,0.0
55.0,5.5,553971.0729728693,29129.339364601678,0.0,-11396.849160733536,5193.6425037798645,0.0,-1113.7367866957638,-58.563377052163816,0.0,0.0,0.0,0.0
56.0,5.6000000000000005,552825.8193728625,29648.410798094403,0.0,-11508.222839403114,5187.7861660746485,0.0,-1115.0226584558127,-59.79939552133018,0.0,0.0,0.0,0.0
57.0,5.7,551669.4219756299,30166.890417724262,0.0,-11619.725105248695,5181.806226522515,0.0,-1116.3540929291105,-61.04549254908337,0.0,0.0,0.0,0.0
58.0,5.800000000000001,550501.8676946403,30684.765812913767,0.0,-11731.360514541606,5175.701677267607,0.0,-1117.7314390923812,-62.30192750100768,0.0,0.0,0.0,0.0
59.0,5.9,549323.1429859906,31202.024471003024,0.0,-11843.133658450844,5169.471484517506,0.0,-1119.1550576639606,-63.56896471949346,0.0,0.0,0.0,0.0
60.0,6.0,548133.2338448572,31718.653774631177,0.0,-11955.04916421724,5163.114588045556,0.0,-1120.6253213208975,-64.84687368568294,0.0,0.0,0.0,0.0
61.0,6.1000000000000005,546932.1258018289,32234.640999067306,0.0,-12067.11169634933,5156.629900676988,0.0,-1122.142614924229,-66.13592918647345,0.0,0.0,0.0,0.0
62.0,6.2,545719.8039191194,32749.973309489073,0.0,-12179.325957841753,5150.01630775834,0.0,-1123.707335752675,-67.43641148678466,0.0,0.0,0.0,0.0
63.0,6.300000000000001,544496.2527866565,33264.63775820747,0.0,-12291.69669141702,5143.272666609661,0.0,-1125.3198937450268,-68.74860650730669,0.0,0.0,0.0,0.0
64.0,6.4,543261.4565180461,33778.6212818359,0.0,-12404.228680791522,5136.397805958931,0.0,-1126.9807117515031,-70.07280600795457,0.0,0.0,0.0,0.0
65.0,6.5,542015.3987464082,34291.91069840175,0.0,-12516.926751966674,5129.390525358135,0.0,-1128.6902257943566,-71.40930777726446,0.0,0.0,0.0,0.0
66.0,6.6000000000000005,540758.0626200825,34804.492704398675,0.0,-12629.79577454611,5122.2495945804085,0.0,-1130.4488853380385,-72.75841582797733,0.0,0.0,0.0,0.0
67.0,6.7,539489.4307982012,35316.353871777574,0.0,-12742.840663079915,5114.973752997611,0.0,-1132.2571535692357,-74.12044059906735,0.0,0.0,0.0,0.0
68.0,6.800000000000001,538209.4854461254,35827.48064487434,0.0,-12856.066378436839,5107.561708937705,0.0,-1134.1155076871032,-75.49569916448237,0.0,0.0,0.0,0.0
69.0,6.9,536918.2082307433,36337.85933727229,0.0,-12969.47792920555,5100.012139021256,0.0,-1136.0244392040445,-76.88451544887748,0.0,0.0,0.0,0.0
70.0,7.0,535615.5803156267,36847.47612859717,0.0,-13083.080373125955,5092.323687476369,0.0,-1137.9844542573835,-78.28722045063378,0.0,0.0,0.0,0.0
71.0,7.1000000000000005,534301.5823560428,37356.31706124255,0.0,-13196.878818551693,5084.494965431306,0.0,-1139.9960739323255,-79.70415247246932,0.0,0.0,0.0,0.0
72.0,7.2,532976.194493818,37864.36803702332,0.0,-13310.878425944926,5076.524550184059,0.0,-1142.059834596571,-81.13565735996136,0.0,0.0,0.0,0.0
73.0,7.300000000000001,531639.3963520505,38371.614813754924,0.0,-13425.084409404582,5068.410984448063,0.0,-1144.176288247016,-82.5820887483163,0.0,0.0,0.0,0.0
74.0,7.4,530291.1670296688,38878.04300175599,0.0,-13539.502038229284,5060.152775573231,0.0,-1146.3460028689467,-84.04380831773601,0.0,0.0,0.0,0.0
75.0,7.5,528931.4850958316,39383.638060271725,0.0,-13654.136638516178,5051.748394741458,0.0,-1148.569562808187,-85.52118605774913,0.0,0.0,0.0,0.0
76.0,7.6000000000000005,527560.3285841659,39888.38529381558,0.0,-13768.993594796997,5043.196276135683,0.0,-1150.8475691566618,-87.01460054089027,0.0,0.0,0.0,0.0
77.0,7.7,526177.6749868405,40392.26984842645,0.0,-13884.078351712664,5034.494816081594,0.0,-1153.1806401518593,-88.52443920612936,0.0,0.0,0.0,0.0
78.0,7.800000000000001,524783.5012484684,40895.27670783857,0.0,-13999.39641572785,5025.642372160981,0.0,-1155.5694115907054,-90.05109865247314,0.0,0.0,0.0,0.0
79.0,7.9,523377.7837598377,41397.390689561405,0.0,-14114.953356886921,5016.637262295733,0.0,-1158.0145372583852,-91.59498494317958,0.0,0.0,0.0,0.0
80.0,8.0,521960.4983514627,41898.59644086626,0.0,-14230.75481061276,5007.477763801416,0.0,-1160.5166893726669,-93.15651392104863,0.0,0.0,0.0,0.0
81.0,8.1,520531.62028695457,42398.8784346768,0.0,-14346.806479550027,4998.162112409311,0.0,-1163.0765590443038,-94.73611153527362,0.0,0.0,0.0,0.0
82.0,8.200000000000001,519091.12425620435,42898.22096536006,0.0,-14463.114135454458,4988.688501255783,0.0,-1165.6948567541338,-96.33421418036292,0.0,0.0,0.0,0.0
83.0,8.3,517638.98436837515,43396.608144414735,0.0,-14579.68362112987,4979.055079837747,0.0,-1168.3723128475106,-97.95126904766535,0.0,0.0,0.0,0.0
84.0,8.4,516175.17414469796,43894.02389605327,0.0,-14696.520852414622,4969.259952932981,0.0,-1171.109678046728,-99.58773449005938,0.0,0.0,0.0,0.0
85.0,8.5,514699.66651106626,44390.45195267412,0.0,-14813.631820219294,4959.301179483975,0.0,-1173.907723982147,-101.2440804003943,0.0,0.0,0.0,0.0
86.0,8.6,513212.43379042443,44885.87585022052,0.0,-14931.022592617508,4949.176771443936,0.0,-1176.7672437427366,-102.92078860430014,0.0,0.0,0.0,0.0
87.0,8.700000000000001,511713.447694944,45380.27892342189,0.0,-15048.699316991782,4938.884692583506,0.0,-1179.689052446822,-104.61835326801592,0.0,0.0,0.0,0.0
88.0,8.8,510202.6793179826,45873.6443009139,0.0,-15166.668222236465,4928.422857256704,0.0,-1182.673987833811,-106.33728132191598,0.0,0.0,0.0,0.0
89.0,8.9,508680.09912581975,46365.95490023296,0.0,-15284.935621019846,4917.789129124513,0.0,-1185.7229108777572,-108.07809290045113,0.0,0.0,0.0,0.0
90.0,9.0,507145.6769491634,46857.19342268091,0.0,-15403.507912107621,4906.981319834468,0.0,-1188.8367064236365,-109.84132179925732,0.0,0.0,0.0,0.0
91.0,9.1,505599.3819744205,47347.34234805536,0.0,-15522.391582749986,4895.997187654542,0.0,-1192.0162838472445,-111.62751595022242,0.0,0.0,0.0,0.0
92.0,9.200000000000001,504041.1827347263,47836.38392924106,0.0,-15641.59321113471,4884.83443605952,0.0,-1195.2625777397009,-113.4372379153443,0.0,0.0,0.0,0.0
93.0,9.3,502471.0471007241,48324.30018665744,0.0,-15761.11946890868,4873.490712267986,0.0,-1198.576548617555,-115.27106540025572,0.0,0.0,0.0,0.0
94.0,9.4,500888.94227109017,48811.07290255724,0.0,-15880.977123770435,4861.96360572796,0.0,-1201.959183659563,-117.12959178833785,0.0,0.0,0.0,0.0
95.0,9.5,499294.83476279484,49296.68361517109,0.0,-16001.173042136392,4850.250646549127,0.0,-1205.4114974712468,-119.01342669639327,0.0,0.0,0.0,0.0
96.0,9.600000000000001,497688.69040109386,49781.11361269252,0.0,-16121.714191883517,4838.349303879488,0.0,-1208.934532878399,-120.92319655290018,0.0,0.0,0.0,0.0
97.0,9.700000000000001,496070.4743092411,50264.3439270977,0.0,-16242.607645171356,4826.256984224197,0.0,-1212.5293617507712,-122.85954519992616,0.0,0.0,0.0,0.0
98.0,9.8,494440.15089791524,50746.355327794125,0.0,-16363.860581346433,4813.971029704205,0.0,-1216.1970858572097,-124.82313451983443,0.0,0.0,0.0,0.0
99.0,9.9,492797.6838543513,51227.12831509195,0.0,-16485.480289932155,4801.488716252221,0.0,-1219.9388377536163,-126.81464508798105,0.0,0.0,0.0,0.0
100.0,10.0,491143.0361311693,51706.64311349173,0.0,-16607.474173707516,4788.807251743423,0.0,-1223.755781705125,-128.83477685266382,0.0,0.0,0.0,0.0
101.0,10.100000000000001,489476.16993489,52184.87966478181,0.0,-16729.849751878028,4775.923774058157,0.0,-1227.6491146440048,-130.88424984365466,0.0,0.0,0.0,0.0
102.0,10.200000000000001,487797.046714129,52661.817620938404,0.0,-16852.61466334243,4762.835349073791,0.0,-1231.6200671648426,-132.96380491072006,0.0,0.0,0.0,0.0
103.0,10.3,486105.6271474589,53137.43633682123,0.0,-16975.776670058913,4749.538968582719,0.0,-1235.6699045586524,-135.074204493612,0.0,0.0,0.0,0.0
104.0,10.4,484401.8711309302,53611.714862657034,0.0,-17099.343660514776,4736.031548133357,0.0,-1239.7999278876484,-137.21623342509676,0.0,0.0,0.0,0.0
105.0,10.5,482685.73776523926,54084.631936303245,0.0,-17223.32365330354,4722.309924790848,0.0,-1244.0114751024855,-139.39069976867447,0.0,0.0,0.0,0.0
106.0,10.600000000000001,480957.1853425334,54556.16597528349,0.0,-17347.72480081379,4708.37085481398,0.0,-1248.3059222038999,-141.5984356927386,0.0,0.0,0.0,0.0
107.0,10.700000000000001,479216.171332841,55026.29506858643,0.0,-17472.55539303418,4694.211011244706,0.0,-1252.6846844507404,-143.8402983830226,0.0,0.0,0.0,0.0
108.0,10.8,477462.65237011533,55494.996968218984,0.0,-17597.823861479254,4679.826981406404,0.0,-1257.149217616539,-146.11717099528965,0.0,0.0,0.0,0.0
109.0,10.9,475696.5842378793,55962.24908050465,0.0,-17723.538783240907,4665.215264306875,0.0,-1261.7010192968205,-148.42996365033144,0.0,0.0,0.0,0.0
110.0,11.0,473917.92185445875,56428.028457117085,0.0,-17849.70888517059,4650.3722679418415,0.0,-1266.3416302695298,-150.77961447346513,0.0,0.0,0.0,0.0
111.0,11.100000000000001,472126.6192577903,56892.3117858389,0.0,-17976.34304819754,4635.294306494495,0.0,-1271.0726359110301,-153.1670906808443,0.0,0.0,0.0,0.0
112.0,11.200000000000001,470322.629589791,57355.07538103495,0.0,-18103.450311788645,4619.97759742641,0.0,-1275.8956676703053,-155.593389715039,0.0,0.0,0.0,0.0
113.0,11.3,468505.9050802738,57816.295173829014,0.0,-18231.039878555675,4604.418258454906,0.0,-1280.812404604098,-158.0595404324823,0.0,0.0,0.0,0.0
114.0,11.4,466676.3970303952,58275.946701972345,0.0,-18359.121119016087,4588.6123044116575,0.0,-1285.8245749759003,-160.56660434554047,0.0,0.0,0.0,0.0
115.0,11.5,464834.05579561874,58734.00509939178,0.0,-18487.703576513675,4572.5556439771035,0.0,-1290.9339579218542,-163.11567692212722,0.0,0.0,0.0,0.0
116.0,11.600000000000001,462978.83076817775,59190.445085404885,0.0,-18616.79697230586,4556.244076284891,0.0,-1296.1423851867878,-165.70788894596143,0.0,0.0,0.0,0.0
117.0,11.700000000000001,461110.6703590212,59645.24095358865,0.0,-18746.41121082454,4539.673287390295,0.0,-1301.4517429338161,-168.3444079407578,0.0,0.0,0.0,0.0
118.0,11.8,459229.5219792241,60098.36656028797,0.0,-18876.55638511792,4522.838846596219,0.0,-1306.8639736310922,-171.02643966184107,0.0,0.0,0.0,0.0
119.0,11.9,457335.33202084416,60549.79531274928,0.0,-19007.24278248103,4505.736202630035,0.0,-1312.3810780195292,-173.75522965889274,0.0,0.0,0.0,0.0
120.0,12.0,455428.04583720595,60999.50015686399,0.0,-19138.480890282983,4488.360679664146,0.0,-1318.0051171655098,-176.53206491377,0.0,0.0,0.0,0.0
121.0,12.100000000000001,453507.60772259184,61447.453564505835,0.0,-19270.281401999535,4470.707473172769,0.0,-1323.7382146028426,-179.35827555758556,0.0,0.0,0.0,0.0
122.0,12.200000000000001,451573.96089131886,61893.62752044533,0.0,-19402.65522345982,4452.77164561701,0.0,-1329.582558568465,-182.2352366715024,0.0,0.0,0.0,0.0
123.0,12.3,449627.04745618004,62337.99350882367,0.0,-19535.613479316668,4434.54812194986,0.0,-1335.5404043366532,-185.16437017598216,0.0,0.0,0.0,0.0
124.0,12.4,447666.8084062267,62780.522499167775,0.0,-19669.167519750332,4416.031684932262,0.0,-1341.6140766567833,-188.14714681353144,0.0,0.0,0.0,0.0
125.0,12.5,445693.1835838684,63221.18493192693,0.0,-19803.32892741601,4397.216970250908,0.0,-1347.805972299977,-191.18508823031627,0.0,0.0,0.0,0.0
126.0,12.600000000000001,443706.11166126525,63659.95070351087,0.0,-19938.109524646006,4378.098461427877,0.0,-1354.1185627202947,-194.279769162369,0.0,0.0,0.0,0.0
127.0,12.700000000000001,441705.53011598706,64096.78915080785,0.0,-20073.521380918035,4358.67048451164,0.0,-1360.5543968364564,-197.43281973248384,0.0,0.0,0.0,0.0
128.0,12.8,439691.37520591106,64531.66903516035,0.0,-20209.57682060168,4338.927202538392,0.0,-1367.1161039404585,-200.64592786430782,0.0,0.0,0.0,0.0
129.0,12.9,437663.58194333117,64964.55852577486,0.0,-20346.288430995726,4318.862609751961,0.0,-1373.8063967398182,-203.9208418205647,0.0,0.0,0.0,0.0
